Baby Gerald,1A
Groundskeeper Willie,1B
Dolph Starbeam,1E
Kirk Van Houten,1F
Artie Ziff,2A
Edna Krabappel,2B
Luann Van Houten,2E
Janey Powell,2F
Akira Kurosawa,3A
Luigi Risotto,3B
Homer Simpson,3E
Selma Bouvier,3F
Wendell Borton,4A
Manjula Nahasapeemapetilon,4B
Kearney Zzyzwicz,4E
Brandine Spuckler,4F
Moe Szyslak,5A
Ralph Wiggum,6A
Barney Gumble,7D
Carl Carlson,7F
Gil Gunderson,7C
Gloria Jailbird,7B
Krusty The Clown,7E
Rod Flanders,7A
Bumblebee Man,8A
Disco Stu,8D
Helen Lovejoy,8B
Rabbi Hyman Krustofsky,8F
Roger Meyers Jr.,8E
Shauna Chalmers,8C
Bernice Hibbert,9C
Dewey Largo,9D
Lunchlady Doris,9F
Mayor Joe Quimby,9E
Squeaky-Voiced Teen,9B
Waylon Smithers,9A
Cletus Spuckler,10D
Herman Hermann,10E
Kent Brockman,10A
Lindsey Naegle,10B
Ned Flanders,10C
Todd Flanders,10F
Allison Taylor,11D
Marge Simpson,11F
Martin Prince,11E
Rainier Wolfcastle,11B
Sarah Wiggum,11C
Uter Zorker,11A
Hans Moleman,12C
Jessica Lovejoy,12D
Jimbo Jones,12A
Judge Roy Snyder,12B
Kumiko Albertson,12F
Milhouse Van Houten,12E
Apu Nahasapeemapetilon,13F
Elizabeth Hoover,13D
Lisa Simpson,13E
Miss Springfield,13B
Patty Bouvier,13C
Wise Guy,13A
Jacqueline Bouvier,14D
Jasper Beardly,14A
Sea Captain,14E
Seymour Skinner,14B
The Rich Texan,14C
Troy McClure,14F
Bart Simpson,15C
Johnny Tightlips,15E
Lionel Hutz,15F
Mona Simpson,15B
Ruth Powers,15D
Sideshow Mel,15A
Abraham Simpson,16A
Alice Glick,16C
Chazz Busby,16E
Nelson Muntz,16D
Snake Jailbird,16F
Surly Duff,16B
Chris Griffin,17F
Comic Book Guy,17A
Drederick Tatum,17E
Lenny Leonard,17B
Ling Bouvier,17C
Maude Flanders[D],17D
Brian Griffin,18D
Diane Simmons,18F
Lois Griffin,18E
Maggie Simpson,18A
Peter Griffin,18B
Stewie Griffin,18C
Cleveland Brown,19B
Glenn Quagmire,19C
Joe Swanson,19D
Judge Dignified Q. Blackman,19F
Meg Griffin,19A
Tom Tucker,19E
Bonnie Swanson,20C
Bruce Jake Tucker,20E
Elmer Hartman,20F
Jonathan Weed,20A
Loretta Brown,20B
Rupert Kevin Swanson,20D
Babs Pewterschmidt,21B
Carter Pewterschmidt,21A
Cleveland Brown Jr.,21E
Jasper Goldman,21F
Mayor Adam West,21C
Tricia Takanawa,21D
Connie D'Amico,22E
Ernie The Giant Chicken,22D
Evil Monkey,22A
Horace Jim Kaplan,22B
Muriel Goldman,22F
Neil Goldman,22C
Francis Griffin,23B
John Herbert,23D
Mort Goldman,23E
Patty Ruth Cochamer,23F
Principal John Shepherd,23A
Thelma Griffin,23C
Angela Esther,24E
Carol West,24C
Greased-Up Deaf Guy,24D
Jillian Russell-Wilcox,24F
Ollie Williams,24B
Seamus Levine,24A
Al Harrington,25C
Carl Woods,25E
James William Bottomtooth III,25A
James Woods,25D
Jesse Opie,25B
Rallo Tubbs,25F
Donna Tubbs-Brown,26D
Fouad RJ Consuela,26A
Ida Davis Jerome,26E
Shmi Skywalker,26F
Susie Swanson,26C
Tomik & Bellgarde,26B
Ben Solo,27F
Doug Tammy,27E
Joyce Kinney,27A
Miss Tammy,27D
Roberta Tubbs,27C
Stella Vinny,27B
Anakin Skywalker,28A
Darth Vader,28B
Han Solo,28E
Leia Organa,28D
Luke Skywalker,28C
Ryoo Naberrie,28F
